ID_CLIENTE,SAFRA_REF,PROBABILIDADE_INADIMPLENCIA
5058298901476893676,2021-07-01,0.011849499749930152
274692171162531764,2021-07-01,0.028588852676358086
274692171162531764,2021-07-01,0.056709733166507965
274692171162531764,2021-07-01,0.031661592839028044
465309249432033993,2021-07-01,0.03034808673502476
465309249432033993,2021-07-01,0.023537732422021677
465309249432033993,2021-07-01,0.021608266188831545
465309249432033993,2021-07-01,0.021608266188831545
5883155883105348987,2021-07-01,0.016155616423013244
5883155883105348987,2021-07-01,0.006701952832141116
4489904752023469353,2021-07-01,0.10636638122246751
3355881107559250653,2021-07-01,0.006274435564470685
3355881107559250653,2021-07-01,0.007853529774384308
3355881107559250653,2021-07-01,0.008224969542717548
3355881107559250653,2021-07-01,0.006748978452519779
3355881107559250653,2021-07-01,0.006685544747461566
3355881107559250653,2021-07-01,0.009438233103917691
3355881107559250653,2021-07-01,0.006842569067852134
6330043096034525408,2021-07-01,0.16984717750902034
6330043096034525408,2021-07-01,0.061485893818022296
6964108750473070287,2021-07-01,0.019612585324125745
6964108750473070287,2021-07-01,0.0237206797142167
6964108750473070287,2021-07-01,0.012814640487621097
6964108750473070287,2021-07-01,0.012903642463339167
6964108750473070287,2021-07-01,0.022064904737896036
6964108750473070287,2021-07-01,0.01468900606928845
6964108750473070287,2021-07-01,0.01468900606928845
6964108750473070287,2021-07-01,0.014028343279128158
6964108750473070287,2021-07-01,0.019763091816464635
6964108750473070287,2021-07-01,0.012716363692814696
6964108750473070287,2021-07-01,0.013003347555298295
6964108750473070287,2021-07-01,0.02100558874392608
6964108750473070287,2021-07-01,0.013349588428539061
6964108750473070287,2021-07-01,0.01468900606928845
6964108750473070287,2021-07-01,0.01468900606928845
6964108750473070287,2021-07-01,0.0237206797142167
4008627434689715639,2021-07-01,0.19730989558571363
4008627434689715639,2021-07-01,0.19624176731247198
4008627434689715639,2021-07-01,0.06081604223639614
5757271354816214865,2021-07-01,0.4541197998277695
5757271354816214865,2021-07-01,0.8163153008970955
5757271354816214865,2021-07-01,0.42359930647580707
5757271354816214865,2021-07-01,0.4541197998277695
5757271354816214865,2021-07-01,0.4541197998277695
5757271354816214865,2021-07-01,0.450708474685364
5757271354816214865,2021-07-01,0.45437990799919287
5757271354816214865,2021-07-01,0.42359930647580707
5757271354816214865,2021-07-01,0.4979921990191541
5757271354816214865,2021-07-01,0.49675860314525805
5757271354816214865,2021-07-01,0.33365950841508357
5757271354816214865,2021-07-01,0.7622877690010775
5757271354816214865,2021-07-01,0.33748024476252453
5757271354816214865,2021-07-01,0.29187333942447025
5757271354816214865,2021-07-01,0.426422382946821
8909740532547211288,2021-07-01,0.007102946230998476
8909740532547211288,2021-07-01,0.01157584225539189
8909740532547211288,2021-07-01,0.01157584225539189
4045739494965095560,2021-07-01,0.01621966879230408
4045739494965095560,2021-07-01,0.017982617260171706
4045739494965095560,2021-07-01,0.017573756834070066
6759864637454708017,2021-07-01,0.0603684561418788
6759864637454708017,2021-07-01,0.17188654518780008
6759864637454708017,2021-07-01,0.0603684561418788
6759864637454708017,2021-07-01,0.0186003566994518
6759864637454708017,2021-07-01,0.012926289665502855
6759864637454708017,2021-07-01,0.0186003566994518
6134696632487351445,2021-07-01,0.005025966151100197
6134696632487351445,2021-07-01,0.004836391811270321
6134696632487351445,2021-07-01,0.0036865651536793767
5373371196946859811,2021-07-01,0.02115834999253616
3095686599956852697,2021-07-01,0.007126495324138699
